Transaction_ID,Date,Item_ID,Item_Name,Transaction_Type,Quantity,Initial_Quantity,New_Quantity
487,2023-12-19,1,Rice,Purchase,13,100,113
488,2023-12-24,2,Milk,Purchase,13,50,63
489,2024-01-04,2,Milk,Purchase,16,50,66
490,2023-12-23,2,Milk,Purchase,2,50,52
491,2024-01-03,3,Bread,Purchase,4,75,79
492,2024-01-04,1,Rice,Sale,1,100,99
493,2024-01-02,3,Bread,Sale,20,75,55
494,2024-01-11,8,Cadbury,Purchase,6,120,126
495,2023-12-30,5,Bananas,Purchase,17,40,57
496,2024-01-02,6,Potatos,Purchase,16,80,96
497,2023-12-18,4,Eggs,Purchase,9,60,69
498,2024-01-06,5,Bananas,Purchase,2,40,42
499,2024-01-06,3,Bread,Sale,3,75,72
500,2024-01-06,3,Bread,Sale,4,75,71
501,2024-01-02,5,Bananas,Purchase,14,40,54
502,2023-12-27,7,Redbull,Sale,9,200,191
503,2023-12-17,2,Milk,Purchase,3,50,53
504,2024-01-10,3,Bread,Sale,6,75,69
505,2023-12-19,4,Eggs,Purchase,18,60,78
506,2024-01-08,4,Eggs,Purchase,12,60,72
507,2023-12-29,1,Rice,Purchase,2,100,102
508,2023-12-14,1,Rice,Purchase,14,100,114
509,2024-01-07,5,Bananas,Sale,18,40,22
510,2023-12-23,2,Milk,Purchase,14,50,64
511,2024-01-07,3,Bread,Purchase,12,75,87
512,2023-12-14,5,Bananas,Purchase,11,40,51
513,2024-01-11,7,Redbull,Purchase,14,200,214
514,2024-01-07,7,Redbull,Sale,18,200,182
515,2024-01-02,4,Eggs,Sale,5,60,55
516,2023-12-29,6,Potatos,Sale,10,80,70
517,2024-01-10,8,Cadbury,Purchase,5,120,125
518,2024-01-02,1,Rice,Sale,13,100,87
519,2023-12-20,5,Bananas,Sale,8,40,32
520,2024-01-07,3,Bread,Sale,18,75,57
521,2023-12-17,2,Milk,Purchase,11,50,61
522,2024-01-01,5,Bananas,Purchase,3,40,43
523,2023-12-21,7,Redbull,Sale,9,200,191
524,2023-12-14,5,Bananas,Sale,6,40,34
525,2023-12-22,1,Rice,Sale,15,100,85
526,2023-12-24,4,Eggs,Purchase,10,60,70
527,2024-01-04,5,Bananas,Sale,2,40,38
528,2023-12-26,3,Bread,Sale,15,75,60
529,2024-01-12,3,Bread,Purchase,13,75,88
